"BillID","Major","MajorProb","Minor","MinorProb","Private"
"113-hr-1068",21,0.31,2101,0.53,0
"113-hr-1069",12,0.43,1203,0.45,0
"113-hr-107",20,0.6,2004,0.72,0
"113-hr-1070",3,0.39,331,0.51,0
"113-hr-1071",20,0.71,2006,0.87,0
"113-hr-1072",20,0.46,2002,0.65,0
"113-hr-1073",16,0.19,1615,0.4,0
"113-hr-1074",3,0.55,302,0.2,0
"113-hr-1075",16,0.44,1608,0.96,0
"113-hr-1076",3,0.88,302,0.69,0
"113-hr-1077",15,0.85,1504,0.61,0
"113-hr-1078",20,0.62,2002,0.59,0
"113-hr-1079",16,0.7,1608,0.63,0
"113-hr-108",20,0.28,2004,0.61,0
"113-hr-1080",16,0.79,1611,0.58,0
"113-hr-1081",16,0.73,1608,0.62,0
"113-hr-1082",20,0.31,2011,0.47,0
"113-hr-1083",15,0.2,1525,0.31,0
"113-hr-1084",20,0.99,2006,0.99,0
"113-hr-1085",18,0.88,1807,0.91,0
"113-hr-1086",3,0.22,331,0.44,0
"113-hr-1087",9,0.91,900,1,0
"113-hr-1088",20,0.23,2002,0.38,0
"113-hr-1089",15,0.18,1525,0.31,0
"113-hr-109",8,0.31,802,0.55,0
"113-hr-1090",6,0.94,602,0.43,0
"113-hr-1091",15,0.2,1525,0.29,0
"113-hr-1092",10,0.44,1003,0.75,0
"113-hr-1093",15,0.2,1525,0.31,0
"113-hr-1094",13,0.3,1301,0.49,0
"113-hr-1095",15,0.17,1525,0.32,0
"113-hr-1096",12,0.28,1208,0.36,0
"113-hr-1097",5,0.21,502,0.47,0
"113-hr-1098",7,0.29,709,0.54,0
"113-hr-1099",3,0.93,331,0.89,0
"113-hr-11",20,0.43,2002,0.66,0
"113-hr-110",16,1,1620,0.45,0
"113-hr-1100",3,0.81,333,0.63,0
"113-hr-1101",12,0.21,1207,0.2,0
"113-hr-1102",3,0.9,335,0.78,0
"113-hr-1103",21,0.96,2102,0.99,0
"113-hr-1104",20,0.26,2002,0.58,0
"113-hr-1105",15,0.84,1521,0.99,0
"113-hr-1106",15,0.93,1521,0.89,0
"113-hr-1107",8,0.91,806,0.47,0
"113-hr-1108",18,0.78,1802,0.66,0
"113-hr-1109",16,0.38,1617,0.73,0
"113-hr-111",16,0.49,1699,0.48,0
"113-hr-1110",15,0.18,1523,0.27,0
"113-hr-1111",15,0.6,1521,0.55,0
"113-hr-1112",15,0.32,1520,0.58,0
"113-hr-1113",20,0.87,2012,0.83,0
"113-hr-1114",20,0.32,2002,0.31,0
"113-hr-1115",20,0.48,2012,0.89,0
"113-hr-1116",15,0.19,1501,0.34,0
"113-hr-1117",13,0.26,1303,0.56,0
"113-hr-1118",15,0.2,1525,0.31,0
"113-hr-1119",15,0.2,1525,0.33,0
"113-hr-112",20,0.18,2002,0.4,0
"113-hr-1120",3,0.22,331,0.4,0
"113-hr-1121",2,0.47,208,0.99,0
"113-hr-1122",15,0.2,1525,0.31,0
"113-hr-1123",15,0.62,1525,0.59,0
"113-hr-1124",5,0.23,502,0.63,0
"113-hr-1125",15,0.26,1504,0.37,0
"113-hr-1126",21,0.45,2101,0.81,0
"113-hr-1127",13,0.29,1303,0.63,0
